ID | Feature | User Story | Expected Behaviour | Source
STATS-1 | Global metric tiles | As a lifter, I want four overview metrics on the Stats tab, so that I can see my overall training volume at a glance | renderStats() fills #metrics with four tiles: Sessions = count of unique session IDs; Sets logged = state.log.length; Volume = kfmt(sum of load×reps) with kg suffix; Best e1RM = fmt(round(max e1rm)) with kg and metric--hot styling. | renderStats() ~144-154
STATS-2 | Exercise selector population | As a lifter, I want a dropdown of every logged exercise, so that I can pick which lift to analyze | #statExercise is rebuilt from unique exercise names in state.log, sorted alphabetically; if the log is empty a single No data option is shown; changing the select triggers renderStats() via onchange. | renderStats() ~145-159; init() ~317
STATS-3 | Exercise selector persistence | As a lifter, I want my exercise choice to survive re-renders, so that saving a workout does not reset the chart | Before rebuilding options, renderStats() stores the current #statExercise value in old; after repopulating, it restores old only when names.includes(old); otherwise first option applies. | renderStats() ~156-159
STATS-4 | Per-session exercise summaries | As a lifter, I want each exercise aggregated per workout session, so that charts and tables reflect session-level performance | summaries() groups state.log rows by session|name; computes top=max load (topReps at that load), volume=sum(load×reps), e1rm=best e1rm, reps=sum, rir=avg, sets=count; sorted by date then session ascending. | summaries() ~136-142
STATS-5 | Top-load trend summary | As a lifter, I want a text summary of load progression, so that I can see direction without reading the chart | When rows exist, #trend shows Top load first→latest kg, a delta span with class up/down and ▲/▼/· plus abs(delta) kg over N session(s), and Best e1RM kg; when no rows, #trend is cleared. | renderStats() ~162-167
STATS-6 | Chart empty state | As a lifter, I want guidance when no data exists for the selected exercise, so that I know what to do next | draw() clears the canvas and, when rows.length===0, draws centered steel text Log this lift to chart its progression. then returns without axes/series. | draw() ~174-180
STATS-7 | Chart axes and scale | As a lifter, I want a readable Y-axis scale, so that load values are interpretable | With data, draw() maps index to X (single point centered; multiple spread across) and top to Y using lo=max(0,min-25%span) and hi=max+25%span; draws 4 gridlines with right-aligned Y labels; X-axis shows shortDate first and last. | draw() ~181-205
STATS-8 | Chart series styling | As a lifter, I want a visually rich progression line, so that recent progress stands out | draw() fills ember gradient area under line; strokes quench→gold→white gradient line; gold r3 points, white r5 last point with ember shadow; labels latest top as {top}kg offset by edge proximity. | draw() ~187-201
STATS-9 | Recent performance table | As a lifter, I want a table of my last sessions for the selected exercise, so that I can review recent numbers quickly | #recent renders via table() the last 8 summary rows (newest first) with columns Date, Top, Reps, RIR, e1RM, Vol; empty rows show No data yet. | renderStats() ~169; table() ~304-305
STATS-10 | Top loads table | As a lifter, I want a leaderboard of my heaviest set per exercise, so that I can compare best loads across lifts | #tops builds one row per logged exercise name: the raw log entry with highest load for that name, sorted by load descending; columns Exercise, kg, Reps, RIR, Date; empty log yields No data yet. | renderStats() ~170-171
STATS-11 | e1RM and number formatting | As a lifter, I want consistent numeric display in Stats, so that values are readable and comparable | e1rm(load,reps)=load×(1+reps/30) when both>0 else 0; fmt() renders ints plainly and decimals trimmed; kfmt() shows >=10000 as k otherwise round; used across tiles, trend, chart, tables. | e1rm() ~10; fmt() ~6; kfmt() ~7
HIST-1 | Sessions list newest-first | As a lifter, I want one card per saved workout sorted by most recent first, so that I can quickly find my latest sessions | renderHistory() deduplicates state.log into one object per unique session id via Map, then sorts descending by created. Each session renders as a .session card inside #sessions; latest created appears first. | renderHistory() ~209-217
HIST-2 | Session card day date set count | As a lifter, I want each session card to show training day, date, and number of sets, so that I can scan sessions at a glance | Each card shows s.day in .session__day and s.date plus sets.length labeled sets in .session__sub as {date} · {n} sets · …; all dynamic text passed through esc(). | renderHistory() ~211-215
HIST-3 | Session top set display | As a lifter, I want to see the heaviest set in each session, so that I can compare peak performance | For each session, sets reduce to the row with strictly greatest numeric load; card shows fmt(top.load)×top.reps in .session__stat. If no set has load>0, shows 0×0. | renderHistory() ~212-215
HIST-4 | Session volume summary | As a lifter, I want total session volume on each card, so that I can gauge overall training load | Session volume = sum((load||0)*(reps||0)) across all sets, shown after top · via kfmt(vol) plus kg. | renderHistory() ~213-215
HIST-5 | Sessions empty state | As a new user, I want a clear message when no workouts exist, so that I know how to start logging | When the deduplicated sessions array is empty, #sessions shows .table>.empty with text No sessions yet. Forge your first on the Log tab. | renderHistory() ~217
HIST-6 | Delete session confirmation gate | As a lifter, I want a confirmation before deleting a session, so that I do not remove data by accident | Each card has a Delete button (.session__del) with data-del=session id. Click runs confirm(Delete this session? This cannot be undone.); cancel leaves state.log unchanged with no save/render/toast. | renderHistory() ~216-218
HIST-7 | Delete session persist and refresh | As a lifter, I want a confirmed delete to remove all sets for that session and update the app, so that history stays accurate | On confirm OK: state.log filters out rows with that session; save() persists; render() re-runs; toast Session deleted. Both #sessions and #historyTable reflect removal immediately. | renderHistory() ~218
HIST-8 | Every set table columns and order | As a lifter, I want a full ledger of every logged set in a sortable table, so that I can audit individual sets | #historyTable filled by table(rows) where rows is all state.log sorted by date desc, name asc, set asc. Columns Date, Day, Exercise, Set, kg, Reps, RIR; escaped. | renderHistory() ~219-220
HIST-9 | Every set empty state | As a user with no logged sets, I want the Every set section to show an empty message, so that the table area is not blank | When state.log is empty, table() returns div.empty No data yet. inside #historyTable. | renderHistory() ~219-220; table() ~304
PROG-1 | Program tab shell | As a lifter, I want a dedicated Program view with editor, advanced JSON, and volume audit, so that I can manage my split in one place | Program tab shows #program: lede; #programEditor; +Add day; collapsible Advanced details with #programJson and Save JSON; Weekly volume audit heading with #volume. renderProgram() calls renderProgramEditor() then renderVolume(). | renderProgram() ~223
PROG-2 | Day-grouped visual editor | As a lifter, I want my program rendered as one card per training day with nested exercise cards, so that I can scan and edit my split by day | renderProgramEditor() reads prog.days() sorted numeric; each day via dayCard(d); each exercise from prog.forDay(d) via exCard(e,i,n). Day cards .pday; exercises .pex inside .pexlist. | renderProgramEditor() ~225-232
PROG-3 | Empty program state | As a lifter starting fresh, I want a clear empty state when I have no training days, so that I know to add a day first | When prog.days() is empty, #programEditor shows No training days yet. Add one to start building your split. (in .table/.empty). | renderProgramEditor() ~227-229
PROG-4 | Add training day | As a lifter, I want to add a new training day with one starter exercise, so that I can expand my split quickly | +Add day calls prog.addDay(): next unused Day N name, pushes Exercise (order 1, New exercise, sets 3, min 6, max 10). Sets global day, persistProgram(), full render(), toast Day added. | addDay() ~60-61; init handler ~319
PROG-5 | Rename training day | As a lifter, I want to rename a day inline, so that my split labels match how I train | Inline input (data-act=renameDay). On change, prog.renameDay(old,new) trims; succeeds only if non-empty and different; updates all matching exercises and renumber(). On success, if active day matched old it switches; persistProgram(), render(), toast Day renamed. On failure resets input. | renameDay() ~62-63; bindEditor() ~272-273
PROG-6 | Delete training day | As a lifter, I want to delete a day and all its exercises after confirmation, so that I can remove unused days safely | Day ✕ runs confirm(Delete {day} and all of its exercises?). If confirmed, prog.removeDay(day), persistProgram(), render(), toast Day deleted. Cancel unchanged. | removeDay() ~64; editorAction() ~283
PROG-7 | Day summary counts | As a lifter, I want each day card to show exercise and set totals, so that I can gauge day volume at a glance | dayCard computes exs and sets=sum(e.sets); header shows {exs.length} ex · {sets} sets. Empty day shows No exercises yet. Add your first below. | dayCard() ~235-242
PROG-8 | Add exercise to a day | As a lifter, I want to add a new exercise to a specific day, so that I can grow that day template | +Add exercise calls prog.addExercise(day): order=max order+1 (or 1); defaults New exercise, sets 3, min 6, max 10. persistProgram(), render(), toast Exercise added. | addExercise() ~55-56; editorAction() ~279
PROG-9 | Live edit exercise text fields | As a lifter, I want name and muscle fields to update as I type, so that edits feel immediate | Inputs with data-field name/primary/secondary bind oninput: prog.update assigns string as-is; persistProgram(), renderVolume(), updateGauge(), updateSaveMeta() — editor not fully re-rendered, preserving focus. | bindEditor() ~268-269; Program.update() ~52-54
PROG-10 | Sets/rep-range editing with clamping | As a lifter, I want sets/min/max to stay valid positive integers, so that my program never stores garbage | Number inputs (min=1, step=1) use oninput path; Program.update applies posInt(value,current). On change/blur each number input resets from model so invalid values revert. Live update does not enforce max>=min. | Program.update() ~52-53; bindEditor() ~269-270
PROG-11 | Reorder exercises within a day | As a lifter, I want to move exercises up or down within their day, so that I can control session order | Each exCard shows ▲(up) and ▼(down); first ▲ disabled, last ▼ disabled. Click prog.move(id,±1) swaps order with neighbor; no-op at bounds. persistProgram(), render(). | move() ~58-59; editorAction() ~281-282
PROG-12 | Delete exercise | As a lifter, I want to remove an exercise from a day, so that I can drop movements I no longer train | Exercise ✕ (delEx) calls prog.removeExercise(id) (filter + renumber), persistProgram(), render(), toast Exercise removed. | removeExercise() ~57; editorAction() ~280
PROG-13 | Raw JSON editor sync | As a power user, I want the advanced textarea to reflect the program without clobbering my typing, so that I can inspect or bulk-edit safely | On each renderProgramEditor(), if activeElement is not #programJson, textarea set to JSON.stringify(prog.toJSON().map(drop id),null,2). While focused, sync skipped. Advanced block in details.advanced with warning lede. | renderProgramEditor() ~230
PROG-14 | Save program from JSON | As a power user, I want to replace the entire program by parsing the JSON textarea, so that I can import or bulk-edit a split | Save JSON runs saveProgram(): JSON.parse must yield an array or throw. On success prog=new Program(parsed) (normalizes via Exercise), persistProgram(), sets day to first day, render(), toast Program saved. On failure toast That JSON didn't parse. Check the brackets and commas. | saveProgram() ~297-299
PROG-15 | Weekly volume audit bars | As a lifter, I want a per-muscle weekly volume summary with bars, so that I can spot over/under-trained groups | renderVolume() builds prog.volume(): primary muscles +sets direct; secondary +sets*0.5; effective=d+p. Sorted desc. Each row: name, bar width max(4,round(eff/max*100))%, label {eff} sets. eff>=10 adds is-high. Empty shows No exercises in the program. | renderVolume() ~286-291; volume()/addVol() ~65-67,293
PROG-16 | Program persistence on visual edits | As a lifter, I want every program change saved to localStorage immediately, so that my split survives refresh | persistProgram() sets state.program=prog.toJSON() and save(). Invoked after field edits, editor actions, add day, JSON save. Text-field edits also refresh volume and save metadata. | persistProgram() ~295; save() ~74
SET-1 | Progression settings display | As a lifter, I want the Settings tab to show my saved progression dials, so that I can review them before editing | On every renderSettings(), #jumpPct, #minJump, #rirHigh are set from state.settings values. | renderSettings() ~301-302
SET-2 | Storage note | As a user, I want to see where my data lives, so that I understand there is no cloud copy | renderSettings() sets #storageNote explaining data is stored under localStorage key repforge_v1 and advising export before clearing site data or switching phones. | renderSettings() ~302
SET-3 | Save progression settings | As a lifter, I want to save Load jump %, Minimum jump (kg), and Target RIR ceiling, so that recommendations and rounding use my preferences | #saveSettings reads three inputs, coerces with +, applies fallbacks (jumpPct/minJump default 2.5 if falsy; rirHigh default 2), assigns state.settings, save(), render(), toast Settings saved. | init save handler ~320
SET-4 | Export backup JSON | As a user, I want to download a full JSON backup, so that I can restore program, settings, and log elsewhere | #exportJson runs exportJson(): JSON.stringify(state,null,2) to download() as application/json named repforge_backup_<date>.json. | exportJson() ~308; download() ~14
SET-5 | Export log CSV | As a user, I want my training log as CSV, so that I can analyze sets in a spreadsheet | #exportCsv builds CSV header session,date,day,name,set,load,reps,rir,notes,created; each row quoted with internal quotes doubled; downloads as text/csv named repforge_log_<today>.csv (header-only if empty). | exportCsv() ~307
SET-6 | Import valid backup JSON | As a user, I want to restore from a backup file, so that I can recover or migrate my data | #importJson reads first file, parses JSON, succeeds only if s.program exists and s.log is array; replaces state, rehydrates prog, normalizes state.program, sets day to first day, save(), render(), toast Backup imported., clears file input. | importJson() ~309
SET-7 | Import invalid backup rejection | As a user, I want clear feedback when an import fails, so that I know my current data was not replaced | If no file, parse fails, s.program missing, or s.log not array, importJson() toasts That file isn't a valid RepForge backup., leaves state unchanged, resets input. | importJson() ~309
SET-8 | Delete log danger zone | As a user, I want to wipe all logged sets with confirmation, so that I can start fresh without accidental loss | #reset opens confirm(Delete the training log? Export a backup first if you need it.); on OK sets state.log=[], save(), render(), toast Log deleted.; program and settings not cleared. | init reset handler ~322
SHELL-1 | Bottom navigation tab switching | As a user, I want to switch between Log, Stats, History, Program, and Settings, so that I can reach each section | Each nav button has data-view matching a .view section id; click toggles active on exactly one nav button and one view; defaults Log active. | init nav handler ~323
SHELL-2 | Nav scroll and re-render | As a user, I want the app refreshed when I change tabs, so that I always see current data at the top | After active-state toggling, window.scrollTo({top:0}) runs and render() re-renders all views. | init nav handler ~323; render() ~91
SHELL-3 | Header brand shell | As a user, I want a persistent top bar with branding, so that I always know which app I am using | header.topbar shows brand link (aria-label RepForge home) with mark and REP/FORGE wordmark; topbar__end holds #heatGauge and initially hidden #installBtn. | index.html ~18-29
SHELL-4 | PWA install button | As a user, I want to install RepForge to my home screen, so that it launches like a native app | beforeinstallprompt preventDefault(), stores event, unhides #installBtn; click runs prompt(), awaits userChoice, nulls installPrompt, re-hides button. | init ~313-314
SHELL-5 | Toast notifications | As a user, I want brief inline feedback messages, so that actions confirm success or failure without blocking | toast(m) sets #toast text, removes hidden, clears prior timeout, re-adds hidden after 2400ms; used across many flows. | toast() ~13
SHELL-6 | Service worker registration | As a user, I want the service worker registered on load, so that offline caching can activate | On init, if serviceWorker in navigator, register(./sw.js) runs; errors silently ignored. | init ~312
SHELL-7 | Offline asset caching | As a user, I want core app files cached, so that RepForge works offline after the first visit | sw.js install opens cache repforge-v3 and addAll(ASSETS); activate deletes other keys and clients.claim(); GET fetch serves cache-first, else network with runtime put, else falls back to cached ./index.html. | sw.js ~1-29
SHELL-8 | Load state from localStorage | As a user, I want my saved data restored on launch, so that sessions persist across reloads | load() parses localStorage KEY; returns object only if s.program exists and s.log is array; else returns default settings + built-in program + empty log. | load() ~73
SHELL-9 | Save state to localStorage | As a user, I want mutations persisted immediately, so that data survives browser restarts | save() writes JSON.stringify(state) to localStorage KEY repforge_v1; invoked after every state mutation. | save() ~74
SHELL-10 | PWA manifest and metadata | As a user, I want correct PWA install metadata, so that the installed app has the right name, colors, and scope | index.html links manifest and sets theme-color plus Apple meta; manifest defines name/short_name RepForge, standalone portrait, start_url ./index.html, scope ./, colors #0e1116, icon.svg any maskable. | index.html ~6-14; manifest ~1-19
